userId,username,email,avatar,password,age,registeredAt,account,accountName,transactions/0/amount,transactions/0/transctionType,transactions/1/amount,transactions/1/transctionType,transactions/2/amount,transactions/2/transctionType,transactions/3/amount,transactions/3/transctionType,transactions/4/amount,transactions/4/transctionType,transactions/5/amount,transactions/5/transctionType,transactions/6/amount,transactions/6/transctionType,transactions/7/amount,transactions/7/transctionType,transactions/8/amount,transactions/8/transctionType,transactions/9/amount,transactions/9/transctionType,transactions/10/amount,transactions/10/transctionType,transactions/11/amount,transactions/11/transctionType,transactions/12/amount,transactions/12/transctionType
ddf13e35-5951-405c-8db2-107ccfe14a3c,Mario.Tovar36,Adela.Fierro@nearbpo.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/427.jpg,TVfy72OKk2qBmL6,33,2021-12-26T22:14:48.487Z,73807929,Credit Card Account,683.88,deposit,448.10,withdrawal,428.17,withdrawal,723.55,deposit,91.80,withdrawal,921.84,deposit,338.13,payment,293.08,deposit,315.09,invoice,470.36,invoice,481.60,payment,290.88,withdrawal,305.12,invoice
f930a88f-be98-4c55-995b-f4d2f9c86cf8,Anita_Bonilla,Naomi.Moreno@nearbpo.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/897.jpg,T7a7xUd7uWybn5c,42,2022-01-30T20:23:10.278Z,98814737,Investment Account,841.73,invoice,499.19,deposit,184.25,withdrawal,33.46,invoice,963.16,withdrawal,268.98,deposit,251.15,payment,232.06,invoice,637.25,payment,470.80,payment,399.98,invoice,852.25,payment,600.39,payment
dcabbfba-61a7-44fb-9234-05c77f221921,Gonzalo51,Alfonso11@yahoo.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/396.jpg,bW4yIuSvkFhEk7Z,20,2021-11-09T20:07:01.531Z,09621983,Personal Loan Account,40.07,withdrawal,305.09,payment,122.13,invoice,36.38,payment,359.49,deposit,760.28,invoice,787.76,deposit,418.04,deposit,274.60,invoice,153.04,withdrawal,676.88,withdrawal,308.81,withdrawal,262.48,invoice
8c26aa25-0acc-448e-bc95-01a980965e5f,Eva_Zamora,Natalia23@yahoo.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/77.jpg,EyUetgi8VQy39TI,22,2022-01-26T16:56:46.377Z,06256197,Home Loan Account,914.98,deposit,739.99,withdrawal,304.64,withdrawal,380.85,invoice,562.71,invoice,731.46,withdrawal,843.96,deposit,508.64,withdrawal,138.36,invoice,417.84,deposit,926.47,payment,918.35,payment,288.69,invoice
c42a4f35-0d38-4592-96e2-ff96f8fa3bed,Andrea_Benavídez,Fatima98@corpfolder.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/601.jpg,kTLLQUi8spxW4I7,40,2021-12-08T15:28:50.602Z,47470546,Savings Account,664.82,invoice,211.11,invoice,926.90,invoice,414.85,payment,174.99,payment,101.72,invoice,103.76,deposit,643.16,deposit,902.75,payment,537.45,deposit,751.93,invoice,611.47,deposit,352.80,payment
acc42ceb-e57a-48e6-b54b-906f9020196a,Gustavo72,Vctor.Rodrquez@gmail.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/126.jpg,ENN6aTarcW7vX7f,34,2021-10-10T19:33:57.177Z,23907519,Auto Loan Account,115.94,withdrawal,669.92,payment,909.77,payment,509.23,withdrawal,765.62,deposit,907.26,withdrawal,899.89,payment,925.71,withdrawal,559.90,payment,524.54,withdrawal,723.15,withdrawal,908.15,invoice,84.54,invoice
95a87564-7224-4954-af94-2e26dfd2b4ad,AnaLuisa_Sepúlveda,Benjamn50@hotmail.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1012.jpg,a4pfoRkQUuPSdxm,39,2022-03-25T21:59:25.902Z,93535053,Auto Loan Account,614.60,withdrawal,849.03,invoice,716.92,withdrawal,729.10,withdrawal,491.34,invoice,264.24,withdrawal,990.67,withdrawal,552.58,payment,108.06,payment,956.32,deposit,634.95,deposit,270.21,invoice,69.72,invoice
7effb137-9bd7-4fd4-bff2-98750104218b,Bernardo_Cepeda85,Francisco.Len63@yahoo.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1116.jpg,w03J_rom0utUZZ0,29,2021-10-24T22:54:57.423Z,06528368,Money Market Account,312.33,payment,227.65,deposit,855.33,withdrawal,584.32,deposit,812.89,deposit,188.93,invoice,368.78,withdrawal,980.95,withdrawal,49.41,invoice,324.33,deposit,662.63,invoice,56.67,deposit,714.96,invoice
3d94d52a-93f0-4ed7-84b7-62fc60e6d643,Elsa20,FernandoJavier9@nearbpo.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/249.jpg,kThJkpOq_wGqa1e,43,2022-08-08T13:00:53.240Z,08524435,Checking Account,11.04,deposit,928.88,withdrawal,122.96,payment,18.74,invoice,66.40,withdrawal,460.44,invoice,118.31,deposit,21.63,withdrawal,21.89,invoice,949.95,payment,346.60,deposit,874.43,withdrawal,489.47,invoice
eb9cd97e-8839-476b-88ed-193a1f852e16,Julieta.Romo67,Amalia.Rodrgez@corpfolder.com,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/65.jpg,1E1yax2YIG0I5TJ,36,2021-12-08T19:12:56.276Z,83976071,Checking Account,407.77,payment,918.73,payment,982.54,deposit,862.77,payment,137.83,withdrawal,66.47,withdrawal,978.62,deposit,116.51,payment,496.63,withdrawal,298.10,withdrawal,312.32,payment,553.28,payment,680.06,payment
